generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1544,1629-3,0,0.032,0,0.00889924,0
1000,1544,1629-3,0,0.113765,-0.00683436,0.0268321,0
2000,1544,1629-3,0,0.128469,-0.0038677,0.0452988,0
3000,1544,1629-3,0,0.135689,-0.00594763,0.0304115,0
4000,1544,1629-3,0,0.154296,-0.00533682,0.0333067,0
5000,1544,1629-3,0,0.13081,0.00766291,0.0676184,0
6000,1544,1629-3,0,0.233736,-0.022706,0.057875,0
7000,1544,1629-3,0,0.0876384,0.0631099,0.0483546,0
8000,1544,1629-3,0,0.495015,-0.0425868,0.163519,0
9000,1544,1629-3,0,0.267103,-0.0356806,0.0115569,0
10000,1544,1629-3,0,0.219274,-0.0155178,0.0454847,0
11000,1544,1629-3,0,0.140231,-0.00505678,0.0273422,0
12000,1544,1629-3,0,0.165899,0.0021712,0.0821112,0
13000,1544,1629-3,0,0.11195,0.022508,0.0191813,0
14000,1544,1629-3,0,0.0902805,0.046774,0.0106749,0
15000,1544,1629-3,0,0.0805726,0.0409208,0.0260114,0
16000,1544,1629-3,0,0.103163,0.107092,0.063452,0
17000,1544,1629-3,0,0.134938,0.00149319,0.0261242,0
18000,1544,1629-3,0,0.176809,-0.00999262,0.0511435,0
19000,1544,1629-3,0,0.357567,-0.0438514,0.02251,0
20000,1544,1629-3,0,0.10513,0.0181029,0.0463539,0
20000,1629-3,1605-3,7.62897,0.160536,0.0455416,0.180109,0
21000,1544,1629-3,0,0.0663821,0.0403702,0.00283158,0
22000,1544,1629-3,0,0.06507,0.0407275,0.0243775,0
23000,1544,1629-3,0,0.110446,0.0539799,0.104872,0
24000,1544,1629-3,0,0.258844,-0.0304107,0.0588332,0
25000,1544,1629-3,0,0.072156,0.0553934,0.0393269,0
25000,1594-2,1572-2,26.464,0.487397,-0.0483775,0.0870822,0
26000,1544,1629-3,0,0.175627,-0.0103997,0.00954439,0
27000,1544,1629-3,0,0.167003,-0.00378742,0.0238434,0
27000,1555,NA,22.4959,0.149405,0.00498555,0.170023,0
28000,1544,1629-3,0,0.148357,0.0124,0.0613829,0
29000,1544,1629-3,0,0.131651,-0.00697284,0.0127386,0
29000,1605-3,NA,27.9036,0.163158,-0.0201613,0.229453,0
30000,1544,1629-3,0,0.0856973,0.0250566,0.0228006,0
30000,1525,NA,27.8872,2.32412,-0.0122498,0.0475839,0
31000,1544,1629-3,0,0.127403,0.00654992,0.0788079,0
32000,1544,1629-3,0,0.0783678,0.0181913,0.00877447,0
33000,1544,1629-3,0,0.100215,0.0216024,0.00346252,0
34000,1544,1629-3,0,0.121097,0.0122398,0.0505223,0
35000,1544,1629-3,0,0.380317,-0.0511452,0.0306972,0
36000,1544,1629-3,0,0.125231,-0.00584485,0.00824234,0
37000,1544,1629-3,0,0.0595968,0.0945278,0.0146894,0
38000,1544,1629-3,0,0.221728,-0.0414069,0.0332427,0
39000,1544,1629-3,0,0.43146,-0.0293706,0.168673,0
40000,1544,1629-3,0,0.0629479,0.041264,0.0153623,0
41000,1544,1629-3,0,0.184192,-0.00619461,0.00927213,0
42000,1544,1629-3,0,0.209997,-0.00608719,0.0982226,0
43000,1544,1629-3,0,0.268644,-0.0346012,0.0622508,0
43000,1629-3,1605-3,6.74886,0.286305,0.0147675,0.383615,0
44000,1544,1629-3,0,0.118399,-0.00147723,0.00963576,0
45000,1544,1629-3,0,0.159152,-0.0010475,0.155321,0
45000,1629-3,1605-3,5.70611,0.257583,0.0451217,0.374468,0
