"Collection","Sample","Species","Plant_height","Veg_height","Leaf_width","Leaf_length","Sheath_length","Leaf_roll","Leaf_dry","Internode_dist","Culm_diam","Inflor_length","Spikelet_no","Pedicel_length_epu","Glume_length_outer","Glume_length_inner","Spikelet_width","Spikelet_length","Lemma_outer_length","Lemma_inner_length","Striation_no","Lemma_tip","Hair_tuft"
3,1,"E_rehmannii_subspicata",460,357,4.46,67.51,23.29,0,0,35.66,0.92,67.81,25,5,6.2,5.8,2.2,6.4,6.2,6.4,7,0,1
3,2,"E_rehmannii_subspicata",535,370,5.21,87.27,27.43,0,0,70.98,1.41,49.07,10,3.9,6.4,6.1,2,6.8,6.1,6.3,8,0,1
1590,2,"E_rehmannii_subspicata",1025,950,3.38,132.02,45.78,0,0,53.69,1.03,24.06,4,2.95,6.55,6.2,2.2,6.85,5.85,6.1,8,0,1
1659,1,"E_rehmannii_subspicata",475,400,6.54,105.19,51.57,0,0,76.05,1.88,36.1,9,3,6.05,6,2.1,7.35,6.6,6.5,8,0,1
1660,1,"E_rehmannii_subspicata",490,405,1.34,20.37,27.2,1,1,106.69,1.32,22.26,7,1.2,4.7,4.2,1.5,4.5,2.5,2.2,6,0,1
1649,6,"E_rehmannii_rehmannii",725,375,4.55,138.64,57.64,1,0,136.22,1.55,102.12,30,9.1,6.9,6.5,2,6.9,6.3,5.7,9,0,1
1652,1,"E_rehmannii_rehmannii",650,600,6.46,122.2,52.47,0,0,105.29,1.9,119.71,44,18.1,6.1,6,2.5,7.25,6.4,6.8,9,1,1
1653,3,"E_rehmannii_rehmannii",670,410,3.58,77.6,46.99,0,0,84.31,1.52,73.3,20,5.6,7.3,7.1,2.1,8.15,7.6,7.95,9,1,1
1567,1,"E_rehmannii_filiformis",570,540,0.43,17.16,12.07,0,1,75.38,0.6,5.69,1,1.8,5.55,5.1,1.75,4.8,4.1,3.9,16,0,1
1571,3,"E_rehmannii_filiformis",330,310,0.83,12.41,13.08,0,1,47.36,0.4,9.44,1,3.5,5.05,4.65,1.4,5.45,4.3,5,19,0,1
1583,2,"E_rehmannii_filiformis",410,385,1.26,14.52,15.94,1,1,64.52,0.69,7.9,2,1.6,3.9,3.9,1.2,3.5,3,3.05,11,0,1
1591,4,"E_rehmannii_filiformis",1040,980,2.36,56.13,24.35,0,0,47.3,1.07,10.53,4,2.2,6,5.85,1.9,5.7,4.65,5.2,21,0,1
1592,4,"E_rehmannii_filiformis",530,475,0.86,15.77,20.08,1,1,78.36,0.51,7.38,1,3.5,4.85,4.55,1.8,5,4.2,4.75,12,0,1
1615,4,"E_rehmannii_filiformis",350,300,1.12,14.49,17.89,1,1,38.28,0.63,7.34,1,2.8,5.4,5.3,1.4,4.8,4.1,4.55,14,0,1
1,4,"E_rehmannii_filiformis",870,805,2.57,117.68,41.67,0,0,109.08,1.19,25.06,7,2,5.95,6,2.2,5.8,5.15,5.4,19,0,1
4,4,"E_rehmannii_filiformis",450,420,0.6,15.28,20.18,1,1,73.87,0.8,24.51,6,3.3,6.1,6.2,1.6,5.75,4.9,5.3,5,1,1
1658,2,"E_rehmannii_filiformis",610,550,1.6,38.51,24.08,1,0,44.79,1.29,24.9,5,2.7,6.2,6.1,2,6.1,5.4,5.8,17,0,1
1566,2,"E_ramosa_aphylla",520,430,1.35,32.25,65.5,1,1,82.34,1.81,55.02,12,6.6,8.4,8.6,2.2,6.9,6,6.55,11,1,1
1570,1,"E_ramosa_aphylla",430,350,0.79,12.71,44.79,1,1,152.95,1.43,56.21,14,5.2,8.4,8.2,2.4,6.9,6.6,6.95,11,1,1
1576,4,"E_ramosa_aphylla",320,255,0.72,14.87,55.47,1,1,66.76,1.32,44.92,10,6.7,7.25,7.35,2.4,6.2,5.3,6,13,1,1
1585,5,"E_ramosa_ramosa",880,650,1.58,6.13,60.61,1,1,121.69,1.8,103.38,38,4.3,4.9,4.8,2.4,5.95,4.9,5.1,0,1,1
1601,1,"E_ramosa_aphylla",710,570,1.8,8.87,44.9,1,1,153.43,1.29,47.17,15,5.1,6.2,6.05,1.5,5.1,4.1,4.8,9,0,1
