seq,seq,N,S,dN,dS,dN/dS,Paras.,,,
39,4,16987.8,6301.2,0.0293,0.1761,0.1663,0.207,2.3028,0.1663,-37797.299
39,5,16903.5,6385.5,0.0243,0.1624,0.1495,0.1864,2.5537,0.1495,-37228.149
39,6,16914.7,6374.3,0.0233,0.1476,0.158,0.1719,2.4691,0.158,-36965.685
39,7,16925.3,6363.7,0.0241,0.1597,0.1511,0.1835,2.4854,0.1511,-37200.618
39,8,16896.6,6392.4,0.0234,0.159,0.1473,0.1819,2.554,0.1473,-37130.127
39,9,16896.5,6392.5,0.0224,0.161,0.1392,0.1814,2.5325,0.1392,-37088.26
39,10,16938.7,6350.3,0.0228,0.1612,0.1417,0.1817,2.3986,0.1417,-37122.237
39,11,16896.3,6392.7,0.0253,0.1624,0.1555,0.1887,2.5803,0.1555,-37304.526
39,12,16905.5,6383.5,0.0246,0.1625,0.1514,0.1872,2.559,0.1514,-37257.826
39,13,16959,6330,0.0242,0.1458,0.1659,0.1718,2.3594,0.1659,-37015.604
39,14,17003,6286,0.0244,0.1412,0.1725,0.1677,2.2434,0.1725,-36966.544
39,15,16938.5,6350.5,0.0232,0.1456,0.1592,0.1697,2.4222,0.1592,-36925.537
39,16,16937.2,6351.8,0.0233,0.1541,0.151,0.1768,2.4381,0.151,-37048.639
39,17,16880,6409,0.0192,0.126,0.1523,0.1457,2.6062,0.1523,-36320.918
39,18,16873.4,6415.6,0.0188,0.1261,0.1491,0.1451,2.6399,0.1491,-36289.698
39,19,16923.6,6365.4,0.0185,0.1249,0.148,0.1427,2.4871,0.148,-36246.108
39,20,16705.2,6583.8,0.0045,0.0144,0.3119,0.0219,3.2988,0.3119,-32659.058
39,21,16907.4,6381.6,0.0153,0.115,0.1333,0.1279,2.4931,0.1333,-35826.539
39,22,16905.2,6383.8,0.0169,0.1158,0.1456,0.132,2.5182,0.1456,-35975.492
39,23,16820.1,6468.9,0.0027,0.0122,0.2212,0.0161,2.8291,0.2212,-32397.825
39,24,16799.7,6489.3,0.0037,0.0145,0.2541,0.02,2.9299,0.2541,-32574.807
39,25,17123.7,6165.3,0.0049,0.0194,0.2495,0.0261,1.9426,0.2495,-32853.889
39,26,16562.2,6726.8,0.0031,0.0105,0.2934,0.0156,3.962,0.2934,-32377.488
39,27,16800.1,6488.9,0.0046,0.0166,0.2786,0.0239,2.9017,0.2786,-32749.806
39,28,16925.6,6363.4,0.0161,0.1121,0.1434,0.1269,2.4434,0.1434,-35838.314
39,29,16723,6566,0.004,0.0129,0.3056,0.0195,3.2047,0.3056,-32557.925
39,30,16905.9,6383.1,0.0168,0.1144,0.147,0.1307,2.5092,0.147,-35941.309
39,31,16914.5,6374.5,0.0203,0.1306,0.1556,0.1515,2.4983,0.1556,-36482.255
39,32,16862.7,6426.3,0.019,0.1333,0.1424,0.1516,2.6768,0.1424,-36402.187
39,33,17001.4,6287.6,0.0034,0.011,0.306,0.0163,2.2632,0.306,-32430.729
39,34,16884.3,6404.7,0.0164,0.1116,0.1465,0.1276,2.5641,0.1465,-35868.882
39,35,16929.8,6359.2,0.0034,0.0143,0.2382,0.0191,2.4558,0.2382,-32533.098
39,36,16858.6,6430.4,0.0189,0.1323,0.1429,0.1507,2.6995,0.1429,-36377.334
39,37,16845,6444,0.0167,0.1168,0.1431,0.1332,2.6699,0.1431,-35978.48
39,38,16763.9,6525.1,0.0038,0.0134,0.284,0.0195,3.0585,0.284,-32557.805
40,1,16803.4,6485.6,0.0134,0.0852,0.1569,0.1001,2.8135,0.1569,-35158.159
40,2,16880.9,6408.1,0.0154,0.0975,0.1584,0.1141,2.5847,0.1584,-35556.328
40,3,16819.7,6469.3,0.0171,0.1071,0.1592,0.1262,2.7766,0.1592,-35848.541
40,4,16992.2,6296.8,0.0225,0.1174,0.1917,0.1445,2.2542,0.1917,-36460.903
