"ce","k"
0.560806806223097,1
0.510655972225792,2
0.476043987823463,3
0.455069890733692,4
0.437349465588894,5
0.423162029068106,6
0.413735391429002,7
0.405839468727504,8
0.402344522664458,9
0.400957487762213,10
0.40216341734246,11
0.40553323897646,12
0.412233869700653,13
0.42268430459388,14
0.435284406852889,15
0.450941638626101,16
0.47816145751909,17
0.498244864751899,18
0.535696315723301,19
0.566189066722133,20
