generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1523,1629-3,0,0.032,0.125567,0.005,0
1000,1523,1629-3,0,0.442518,-0.0296018,0.127192,0
2000,1523,1629-3,0,0.0632069,0.11526,0.00695456,0
3000,1523,1629-3,0,0.141759,-0.0118657,0.0144314,0
4000,1523,1629-3,0,0.148728,-0.00115372,0.029592,0
5000,1523,1629-3,0,0.105627,-0.00486685,0.00727131,0
6000,1523,1629-3,0,0.0834562,0.031927,0.0371465,0
7000,1523,1629-3,0,0.0945436,0.00385514,0.00250721,0
8000,1523,1629-3,0,0.232238,-0.0308732,0.000851805,0
9000,1523,1629-3,0,0.237549,-0.0368202,0.0113692,0
10000,1523,1629-3,0,0.282368,-0.0459813,0.0324951,0
11000,1523,1629-3,0,0.103774,0.00636774,0.0404307,0
12000,1523,1629-3,0,0.177599,-0.0199217,0.00219938,0
13000,1523,1629-3,0,0.103437,0.00244141,0.0237666,0
14000,1523,1629-3,0,0.158395,-0.00367364,0.0289112,0
15000,1523,1629-3,0,0.198985,-0.0207026,0.0641329,0
16000,1523,1629-3,0,0.359137,-0.0355392,0.0353053,0
17000,1523,1629-3,0,0.278299,-0.0402023,0.0161457,0
18000,1523,1629-3,0,0.120368,-0.0162948,0.0497171,0
19000,1523,1629-3,0,0.345743,-0.0435032,0.0355739,0
20000,1523,1629-3,0,0.189548,-0.0197894,0.000478393,0
21000,1523,1629-3,0,0.262041,-0.0376604,0.00714382,0
21000,1635-2,NA,26.4882,0.270096,-0.035195,0.168253,0
22000,1523,1629-3,0,0.167331,-0.026877,0.00109689,0
23000,1523,1629-3,0,0.253285,-0.0175535,0.0884219,0
24000,1523,1629-3,0,0.308488,-0.0252891,0.100862,0
25000,1523,1629-3,0,0.2609,-0.0284154,0.0080775,0
26000,1523,1629-3,0,0.0693866,0.0621919,0.0442269,0
27000,1523,1629-3,0,0.100118,-0.00634973,0.0150285,0
28000,1523,1629-3,0,0.088066,0.0520133,0.0590032,0
29000,1523,1629-3,0,0.205522,-0.0290007,0.0313731,0
30000,1523,1629-3,0,0.167941,-0.00828105,0.0293287,0
31000,1523,1629-3,0,0.281271,-0.0412435,0.0288386,0
32000,1523,1629-3,0,0.152091,-0.0099253,0.0160297,0
33000,1523,1629-3,0,0.171034,-0.0224758,0.0104217,0
34000,1523,1629-3,0,0.255273,-0.0361249,0.0107332,0
34000,1554,NA,26.6272,0.346218,0.0196377,0.154945,0
35000,1523,1629-3,0,0.0723447,0.0492587,0.00298331,0
36000,1523,1629-3,0,0.107991,0.0172701,0.018403,0
37000,1523,1629-3,0,0.0802649,0.0424583,0.00889898,0
38000,1523,1629-3,0,0.196848,-0.0215329,0.0602391,0
39000,1523,1629-3,0,0.309078,-0.0466493,0.0697907,0
40000,1523,1629-3,0,0.346271,-0.0456214,0.0432202,0
41000,1523,1629-3,0,0.237223,-0.0272194,0.0509574,0
42000,1523,1629-3,0,0.0939353,0.037135,0.00628599,0
43000,1523,1629-3,0,0.251824,-0.0176633,0.134166,0
44000,1523,1629-3,0,0.175321,-0.0135966,0.0753712,0
45000,1523,1629-3,0,0.287249,-0.0251307,0.0538144,0
46000,1523,1629-3,0,0.249569,-0.0219894,0.0383609,0
47000,1523,1629-3,0,0.189348,-0.0116341,0.0162064,0
48000,1523,1629-3,0,0.094975,0.0135684,0.0162299,0
48000,1556,NA,22.3519,0.20365,-0.00529699,0.61636,0
49000,1523,1629-3,0,0.20489,-0.0245693,0.0375557,0
50000,1523,1629-3,0,0.159838,-0.0260035,0.0169749,0
51000,1523,1629-3,0,0.174025,-0.0187633,0.0214434,0
52000,1523,1629-3,0,0.177295,-0.00171042,0.0168419,0
53000,1523,1629-3,0,0.332717,-0.0419425,0.0676648,0
54000,1523,1629-3,0,0.171163,-0.0166053,0.0255575,0
55000,1523,1629-3,0,0.110612,-0.00214497,0.0495173,0
56000,1523,1629-3,0,0.136379,-0.0126534,0.0333474,0
57000,1523,1629-3,0,0.0771368,0.0433592,0.00573812,0
58000,1523,1629-3,0,0.197493,-0.02479,0.0310473,0
59000,1523,1629-3,0,0.140305,0.00175618,0.0616165,0
60000,1523,1629-3,0,0.167818,0.0013586,0.0636114,0
61000,1523,1629-3,0,0.203714,-0.0219128,0.0778212,0
62000,1523,1629-3,0,0.168661,-0.0119199,0.0324482,0
63000,1523,1629-3,0,0.350255,-0.04076,0.0763965,0
64000,1523,1629-3,0,0.120276,0.00427772,0.0202236,0
65000,1523,1629-3,0,0.124603,-0.00699322,0.0217501,0
66000,1523,1629-3,0,0.0712845,0.0460508,0.00745851,0
67000,1523,1629-3,0,0.0747441,0.0489929,0.0162632,0
68000,1523,1629-3,0,0.103632,0.0103472,0.0121359,0
69000,1523,1629-3,0,0.119582,0.00230026,0.0547041,0
70000,1523,1629-3,0,0.210779,-0.0183955,0.0246214,0
71000,1523,1629-3,0,0.221651,-0.0239234,0.0248836,0
71000,1628-3,1646,12.9002,0.134004,-0.0746708,0.0695806,0
72000,1523,1629-3,0,0.223717,-0.0280177,0.0319703,0
73000,1523,1629-3,0,0.252474,-0.025596,0.075799,0
74000,1523,1629-3,0,0.196015,-0.0134814,0.0261629,0
75000,1523,1629-3,0,0.0550226,0.063435,0.0149187,0
75000,1556,NA,26.3128,0.0822623,-0.024568,0.063785,0
76000,1523,1629-3,0,0.0941485,0.0189648,0.00503445,0
77000,1523,1629-3,0,0.169698,-0.0266745,0.0117861,0
78000,1523,1629-3,0,0.142661,-0.0175765,0.00260919,0
79000,1523,1629-3,0,0.248992,-0.0476412,0.0118372,0
80000,1523,1629-3,0,0.222598,-0.00364817,0.139872,0
81000,1523,1629-3,0,0.126725,0.00472748,0.0182664,0
82000,1523,1629-3,0,0.246373,-0.0339443,0.016777,0
83000,1523,1629-3,0,0.401598,-0.0376238,0.0896435,0
84000,1523,1629-3,0,0.249352,-0.00927864,0.0789911,0
85000,1523,1629-3,0,0.142971,-0.000891038,0.00853311,0
86000,1523,1629-3,0,0.094417,0.0335924,0.0184709,0
87000,1523,1629-3,0,0.082886,0.00784748,0.0085713,0
88000,1523,1629-3,0,0.116656,0.0433869,0.0757397,0
89000,1523,1629-3,0,0.106564,0.0211069,0.0775648,0
90000,1523,1629-3,0,0.135212,0.0120493,0.0330247,0
91000,1523,1629-3,0,0.0965416,0.00958222,0.0221569,0
92000,1523,1629-3,0,0.141588,-0.000226499,0.0284759,0
93000,1523,1629-3,0,0.101873,0.000485131,0.0027203,0
93000,1532,NA,25.075,0.436398,-0.0193553,0.113473,0
94000,1523,1629-3,0,0.235314,-0.0206385,0.113296,0
95000,1523,1629-3,0,0.105719,0.00445978,0.00842251,0
95000,1629-3,1605-3,22.8988,0.408104,-0.100416,0.0569995,0
96000,1523,1629-3,0,0.120272,-0.012156,0.0260574,0
97000,1523,1629-3,0,0.141391,-0.0113886,0.000614609,0
98000,1523,1629-3,0,0.0689977,0.0684743,0.00447607,0
98000,1655-1,NA,27.0891,0.427183,0.0216021,0.17652,0
99000,1523,1629-3,0,0.172522,-0.0096413,0.0202936,0
100000,1523,1629-3,0,0.0727486,0.0845741,0.0346163,0
101000,1523,1629-3,0,0.265229,-0.0347652,0.0297326,0
102000,1523,1629-3,0,0.217814,-0.0246067,0.0213834,0
103000,1523,1629-3,0,0.533376,-0.0423532,0.178718,0
104000,1523,1629-3,0,0.179669,-0.0120432,0.0558718,0
105000,1523,1629-3,0,0.0952205,0.0179826,0.00680982,0
106000,1523,1629-3,0,0.0653871,0.0594524,0.0187602,0
107000,1523,1629-3,0,0.191174,-0.00899377,0.0821746,0
108000,1523,1629-3,0,0.130275,0.000797495,0.0234433,0
108000,1555,NA,24.3201,0.515907,0.0103264,0.15623,0
109000,1523,1629-3,0,0.218672,-0.0122578,0.0829712,0
