generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1544,1602-3,0,0.032,0,0.0112179,0
1000,1544,1602-3,0,0.359516,-0.0207666,0.0881337,0
2000,1544,1602-3,0,0.139464,0.0335296,0.150849,0
3000,1544,1602-3,0,0.164519,-0.0120657,0.00994996,0
4000,1544,1602-3,0,0.15781,-0.0137139,0.0026596,0
4000,1602-3,1594-2,26.7997,0.73057,0.0184911,0.152379,0
5000,1544,1602-3,0,0.23381,-0.0136837,0.151347,0
6000,1544,1602-3,0,0.229908,-0.0199769,0.064028,0
6000,1519,NA,23.6236,0.426392,-0.0688188,0.205575,0
7000,1544,1602-3,0,0.392991,-0.0284109,0.121966,0
8000,1544,1602-3,0,0.175275,-0.0146841,0.0112434,0
8000,1542,1525,22.4661,0.52257,0.066943,0.716894,0
8000,1646,1628-3,19.9354,0.065201,-0.00429888,0.157585,0
8000,1542,1543,27.5296,0.190259,0.01621,0.0895751,0
8000,1552,NA,19.9432,0.0444008,0.0551417,0.219207,0
8000,1602-3,1605-3,25.62,0.272645,-0.014971,0.00554119,0
9000,1544,1602-3,0,0.106039,0.0512264,0.00457301,0
9000,1534,NA,28.7818,1.39428,0.00964732,0.631845,0
9000,1516,NA,19.4453,0.0437587,-0.0631741,0.0422745,0
9000,1602-3,1605-3,23.9947,0.698969,-0.0652093,0.00947982,0
10000,1544,1602-3,0,0.134136,-0.0313213,0.00191947,0
10000,1611-2,LW3-1,24.627,0.172468,0.0211634,0.0541293,0
10000,1602-3,1605-3,22.903,0.306565,-0.00291914,0.0501758,0
11000,1544,1602-3,0,0.11644,0.00869765,0.007932,0
12000,1544,1602-3,0,0.407518,-0.0480226,0.0611104,0
12000,1602-3,1605-3,25.6348,0.439889,0.0095245,0.0554586,0
13000,1544,1602-3,0,0.18531,-0.0137911,0.0230318,0
14000,1544,1602-3,0,0.188547,0.00890665,0.147548,0
15000,1544,1602-3,0,0.0914015,0.0526876,0.0358042,0
16000,1544,1602-3,0,0.216556,-0.0230122,0.0164974,0
17000,1544,1602-3,0,0.328386,-0.00974773,0.20022,0
18000,1544,1602-3,0,0.395828,0.0110687,0.324604,0
18000,1544,1646,1.96744,0.0796723,0.0131469,0.0139602,0
18000,1602-3,1605-3,14.9063,0.288119,0.0361793,0.0182452,0
19000,1544,1602-3,0,0.357527,-0.0102702,0.237881,0
20000,1544,1602-3,0,0.110663,-0.00115563,0.00627663,0
20000,1605-3,NA,29.048,0.183352,-0.0236012,1.45736,0
21000,1544,1602-3,0,0.0716814,0.0597741,0.000146325,0
22000,1544,1602-3,0,0.251881,-0.01273,0.0645758,0
22000,1621-4,NA,28.2636,0.142092,0.0182679,0.09608,0
22000,1602-3,1605-3,1.44562,0.443273,0.00380804,0.380206,0
23000,1544,1602-3,0,0.133273,-0.00368802,0.0306502,0
23000,1602-3,1605-3,25.8148,0.681969,-0.0103074,0.134184,0
24000,1544,1602-3,0,0.0995726,0.0226746,0.0253047,0
25000,1544,1602-3,0,0.173464,-0.000879431,0.0661238,0
26000,1544,1602-3,0,0.123135,0.0112675,0.0681839,0
27000,1544,1602-3,0,0.110307,0.0327245,0.0736983,0
28000,1544,1602-3,0,0.269831,-0.0194389,0.165669,0
29000,1544,1602-3,0,0.0883396,0.0416493,0.0254192,0
30000,1544,1602-3,0,0.12463,0.0286354,0.102799,0
31000,1544,1602-3,0,0.129996,0.0377893,0.115574,0
32000,1544,1602-3,0,0.105785,0.0262974,0.0280038,0
33000,1544,1602-3,0,0.263903,-0.0216482,0.0783561,0
34000,1544,1602-3,0,0.272077,-0.00658944,0.160907,0
