generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1544,1629-3,0,0.032,0,0.00447233,0
1000,1544,1629-3,0,0.14648,-0.0187185,0.0444697,0
2000,1544,1629-3,0,0.103031,0.0400559,0.00986859,0
3000,1544,1629-3,0,0.207195,-0.00877018,0.0121863,0
3000,1576-1,NA,26.3227,0.0735297,-0.0537338,0.301731,0
4000,1544,1629-3,0,0.300837,-0.0214444,0.0732993,0
5000,1544,1629-3,0,0.164417,0.0536661,0.0923741,0
6000,1544,1629-3,0,0.0894753,0.0491154,0.0125275,0
7000,1544,1629-3,0,0.0757088,0.0504409,0.00244188,0
8000,1544,1629-3,0,0.141807,-0.00481295,0.0247183,0
9000,1544,1629-3,0,0.124936,-0.00200753,0.000934277,0
9000,1544,NA,26.1164,0.119568,-0.0214195,0.201272,0
9000,1543,1525,18.7787,0.0592624,-0.0524361,0.0261146,0
9000,1644-2,NA,25.553,0.16438,0.0315558,0.0656223,0
10000,1544,1629-3,0,0.0899061,0.106545,0.0781834,0
11000,1544,1629-3,0,0.0757407,0.0191057,0.00901016,0
12000,1544,1629-3,0,0.171695,-0.00191988,0.10496,0
13000,1544,1629-3,0,0.161581,0.0114317,0.12456,0
14000,1544,1629-3,0,0.137728,0.00323019,0.0291809,0
15000,1544,1629-3,0,0.0924049,0.0383437,0.0396508,0
16000,1544,1629-3,0,0.144582,0.00370227,0.0298833,0
17000,1544,1629-3,0,0.115331,0.0257277,0.120921,0
18000,1544,1629-3,0,0.361705,-0.0255288,0.164631,0
19000,1544,1629-3,0,0.435103,-0.047134,0.107297,0
20000,1544,1629-3,0,0.281233,-0.00295265,0.182844,0
21000,1544,1629-3,0,0.46895,-0.0433343,0.184987,0
22000,1544,1629-3,0,0.193886,-0.00531825,0.103561,0
23000,1544,1629-3,0,0.135238,-0.00469404,0.00673184,0
24000,1544,1629-3,0,0.0767799,-0.00258765,0.0103103,0
24000,1629-3,1605-3,16.8588,0.371518,-0.0323424,0.0371988,0
25000,1544,1629-3,0,0.102907,0.0211454,0.000846751,0
26000,1544,1629-3,0,0.0991982,0.0460807,0.0188371,0
27000,1544,1629-3,0,0.467748,-0.0416281,0.155259,0
27000,1629-3,1605-3,13.3252,0.305262,-0.0260999,0.372072,0
28000,1544,1629-3,0,0.260011,-0.0276416,0.101254,0
29000,1544,1629-3,0,0.110627,0.0201728,0.0597616,0
30000,1544,1629-3,0,0.327127,-0.0335581,0.101326,0
31000,1544,1629-3,0,0.197385,-0.00105624,0.101798,0
32000,1544,1629-3,0,0.0916014,0.030391,0.038442,0
33000,1544,1629-3,0,0.11542,0.0243435,0.0696789,0
34000,1544,1629-3,0,0.0580367,0.0326734,0.0253139,0
35000,1544,1629-3,0,0.113875,0.0141251,0.0074464,0
36000,1544,1629-3,0,0.511923,-0.0284497,0.222166,0
37000,1544,1629-3,0,0.188508,-0.0065347,0.075242,0
37000,1629-3,1605-3,9.51521,0.695762,0.0370228,0.973709,0
38000,1544,1629-3,0,0.19815,-0.0214711,0.0544498,0
39000,1544,1629-3,0,0.259309,-0.0271186,0.0940242,0
40000,1544,1629-3,0,0.0569154,0.0659724,0.0136204,0
40000,1629-3,1605-3,2.43542,0.424697,0.0106694,0.274184,0
41000,1544,1629-3,0,0.0772785,0.0231931,0.0266622,0
42000,1544,1629-3,0,0.071597,0.0412854,0.00964077,0
43000,1544,1629-3,0,0.285111,-0.0126034,0.197123,0
44000,1544,1629-3,0,0.334657,-0.0211212,0.169364,0
45000,1544,1629-3,0,0.102444,0.0545892,0.0957052,0
46000,1544,1629-3,0,0.194786,0.000839428,0.1123,0
47000,1544,1629-3,0,0.196903,-0.00193444,0.0549799,0
48000,1544,1629-3,0,0.115119,-0.00428192,0.0102584,0
48000,1629-3,1605-3,23.03,0.319953,0.0368028,0.0776677,0
49000,1544,1629-3,0,0.221498,-0.0210969,0.0222089,0
49000,1629-3,1605-3,19.4836,0.291979,0.0363248,0.0555013,0
50000,1544,1629-3,0,0.121955,0.0192347,0.0161199,0
51000,1544,1629-3,0,0.487019,-0.0451608,0.133918,0
52000,1544,1629-3,0,0.254482,-0.0334479,0.068764,0
53000,1544,1629-3,0,0.202452,-0.00510638,0.0899255,0
54000,1544,1629-3,0,0.102571,0.0265583,0.0465088,0
55000,1544,1629-3,0,0.100839,0.0533194,0.0234658,0
56000,1544,1629-3,0,0.281467,-0.0308808,0.0435446,0
57000,1544,1629-3,0,0.249793,-0.0395303,0.022395,0
58000,1544,1629-3,0,0.188115,0.00288627,0.162126,0
59000,1544,1629-3,0,0.13973,0.00415815,0.00965302,0
60000,1544,1629-3,0,0.0656336,0.0237026,0.0107048,0
60000,1629-3,1605-3,19.8447,0.615961,-0.0336574,0.444914,0
61000,1544,1629-3,0,0.150275,0.0459777,0.162982,0
61000,1625-u,NA,22.4221,0.00175765,0.0683141,0.517799,0
61000,1519,NA,20.8598,0.175902,0.0409864,0.0799291,0
61000,1628-3,1646,20.9064,0.557178,0.0421853,0.393693,0
62000,1544,1629-3,0,0.173255,-0.00561067,0.0799581,0
63000,1544,1629-3,0,0.408201,-0.021706,0.246164,0
64000,1544,1629-3,0,0.120726,0.0159611,0.0362939,0
65000,1544,1629-3,0,0.304497,-0.0275128,0.0927903,0
66000,1544,1629-3,0,0.325258,-0.0173028,0.0925209,0
67000,1544,1629-3,0,0.273065,-0.0293651,0.00642795,0
68000,1544,1629-3,0,0.0965161,0.0304067,0.0410893,0
68000,1552,NA,22.4716,0.441319,0.0526397,0.252127,0
69000,1544,1629-3,0,0.0819432,0.0298794,0.0111427,0
70000,1544,1629-3,0,0.174046,-0.00894499,0.0102785,0
71000,1544,1629-3,0,0.169538,-0.00232939,0.0484894,0
72000,1544,1629-3,0,0.164099,-0.0117982,0.0197709,0
