"ce","k"
0.551379648822768,1
0.514898178942241,2
0.484990585323733,3
0.461730955602643,4
0.448799779366022,5
0.436492841598354,6
0.42894674300609,7
0.426273720909181,8
0.430101303573626,9
0.437518989466085,10
0.448785993675359,11
0.470749996839606,12
0.491240645656332,13
0.515535660612241,14
0.541480338461278,15
0.565565694462446,16
0.588469119923761,17
0.619175600985109,18
0.649480467888655,19
0.675121588556014,20
