generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1523,1602-3,0,0.032,0,0.005,0
1000,1523,1602-3,0,0.328659,-0.0376337,0.111884,0
2000,1523,1602-3,0,0.11579,-0.00199115,0.0240137,0
3000,1523,1602-3,0,0.194732,-0.00749884,0.0146762,0
4000,1523,1602-3,0,0.213827,-0.011427,0.0692865,0
5000,1523,1602-3,0,0.0878985,0.00807834,0.00833881,0
5000,LW3-1,NA,26.8349,0.602048,-0.0319678,0.869748,0
6000,1523,1602-3,0,0.177228,-0.0194162,0.0452889,0
6000,1602-3,1572-2,25.294,0.453117,-0.097511,0.0143043,0
7000,1523,1602-3,0,0.0760243,0.0232036,0.00479333,0
7000,1628-3,NA,26.7305,0.0060012,-0.0056571,0.140832,0
7000,1555,NA,26.089,0.23376,0.0163883,0.19512,0
7000,1655-1,NA,26.4912,0.105633,-0.0298571,0.110733,0
8000,1523,1602-3,0,0.0611638,0.0554442,0.00133587,0
9000,1523,1602-3,0,0.461571,-0.0390823,0.0772395,0
10000,1523,1602-3,0,0.252791,-0.0437431,0.0352052,0
10000,1602-3,1605-3,5.00531,0.0150647,0.0394577,0.0850902,0
10000,1602-3,1605-3,24.0345,0.519202,-0.0310526,0.111882,0
11000,1523,1602-3,0,0.256104,-0.0352831,0.0122908,0
11000,1646,1628-3,10.572,0.122702,0.00988653,0.13769,0
11000,1547,NA,28.5366,0.112508,-0.00311169,1.53724,0
11000,1602-3,1605-3,0.929185,0.0491149,-0.0354491,0.232553,0
11000,1602-3,1605-3,23.7744,0.387732,-0.0298753,0.124493,0
12000,1523,1602-3,0,0.197621,-0.0403045,0.00255044,0
12000,1534,NA,24.173,0.0227105,-0.0235905,0.522618,0
12000,1534,NA,26.6662,0.565039,0.0411028,0.155926,0
12000,1555,NA,28.6113,0.00156081,-0.0629834,0.135027,0
12000,1602-3,1605-3,21.8574,0.264592,-0.0459406,0.0278989,0
13000,1523,1602-3,0,0.193201,-0.0182005,0.0495335,0
13000,1602-3,1572-2,25.3433,0.371219,-0.102469,0.188633,0
14000,1523,1602-3,0,0.205374,-0.0186658,0.0224719,0
15000,1523,1602-3,0,0.128567,0.00499698,0.0591609,0
16000,1523,1602-3,0,0.119948,-0.00278882,0.0277122,0
17000,1523,1602-3,0,0.0738064,0.0383478,0.0037106,0
18000,1523,1602-3,0,0.0963122,0.0301079,0.0267184,0
19000,1523,1602-3,0,0.221336,-0.017353,0.0326241,0
20000,1523,1602-3,0,0.222755,-0.030512,0.0577861,0
21000,1523,1602-3,0,0.0787473,0.0469358,0.0545049,0
21000,1534,NA,28.4143,0.153086,-0.0307587,0.190727,0
22000,1523,1602-3,0,0.0941377,0.0173368,0.0236276,0
22000,1572-2,NA,27.501,0.349667,-0.0283048,0.201498,0
23000,1523,1602-3,0,0.0724728,0.12535,0.0352941,0
23000,1646,1628-3,20.0425,0.162506,0.0443978,0.284157,0
24000,1523,1602-3,0,0.140489,-0.0180408,0.0166458,0
25000,1523,1602-3,0,0.276572,-0.0315688,0.0476539,0
26000,1523,1602-3,0,0.282555,-0.0129426,0.159657,0
27000,1523,1602-3,0,0.186709,-0.0139833,0.0251205,0
28000,1523,1602-3,0,0.112051,0.0145541,0.0353421,0
29000,1523,1602-3,0,0.116417,0.0156608,0.0380952,0
30000,1523,1602-3,0,0.137031,-0.0116193,0.00201274,0
31000,1523,1602-3,0,0.0886224,0.0447128,0.00359302,0
31000,1555,NA,27.2518,0.0745099,-0.0183946,0.56675,0
31000,1555,NA,28.0808,0.0205441,-0.0534461,0.0137578,0
32000,1523,1602-3,0,0.157805,-0.012839,0.0653671,0
33000,1523,1602-3,0,0.158671,-0.00751294,0.00906139,0
34000,1523,1602-3,0,0.129855,0.0165194,0.0622339,0
35000,1523,1602-3,0,0.111398,0.0090255,0.0222588,0
36000,1523,1602-3,0,0.223574,-0.013518,0.0764931,0
37000,1523,1602-3,0,0.102148,0.00957075,0.0256003,0
37000,1611-2,LW3-1,10.901,0.238403,0.00484246,0.307713,0
37000,1622-1,NA,29.0595,1.14064,0.0295175,0.335971,0
