"ce","k"
0.551590883649534,1
0.515749518030962,2
0.486171796956616,3
0.462570252282249,4
0.449307773137307,5
0.437020445381659,6
0.42871961028743,7
0.426429327689458,8
0.429542715142236,9
0.437073539921802,10
0.45006152185312,11
0.470103764282111,12
0.492466616896906,13
0.515293489732379,14
0.543060204920696,15
0.568326103886003,16
0.592863499483893,17
0.620722851105091,18
0.646914878975417,19
0.672401080880205,20
