generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1523,1602-3,0,0.032,0,0.005,0
1000,1523,1602-3,0,0.222629,-0.0180563,0.0823043,0
2000,1523,1602-3,0,0.253084,-0.0374795,0.0030291,0
3000,1523,1602-3,0,0.174061,0.00773876,0.0832763,0
4000,1523,1602-3,0,0.0966549,0.0151144,0.00713639,0
5000,1523,1602-3,0,0.0552254,0.0216066,0.000599873,0
6000,1523,1602-3,0,0.0919842,0.0215421,0.00472437,0
7000,1523,1602-3,0,0.154028,-0.0106095,0.0635977,0
8000,1523,1602-3,0,0.103834,0.0282299,0.0375462,0
9000,1523,1602-3,0,0.0916056,0.0246686,0.0440352,0
10000,1523,1602-3,0,0.106076,-0.00291242,0.0489468,0
11000,1523,1602-3,0,0.157066,-0.00987024,0.0152319,0
12000,1523,1602-3,0,0.176233,-0.0154834,0.0638969,0
13000,1523,1602-3,0,0.280043,-0.021975,0.0403454,0
14000,1523,1602-3,0,0.112258,-0.00592327,0.00154433,0
15000,1523,1602-3,0,0.10067,0.00192281,0.0164431,0
16000,1523,1602-3,0,0.18786,-0.00847552,0.00604128,0
17000,1523,1602-3,0,0.333411,-0.0350724,0.116889,0
18000,1523,1602-3,0,0.377617,-0.0408496,0.127192,0
19000,1523,1602-3,0,0.310237,-0.0334491,0.144963,0
20000,1523,1602-3,0,0.082907,0.0496849,0.0208026,0
20000,1602-3,1605-3,15.6472,0.217776,0.00489064,0.0277231,0
21000,1523,1602-3,0,0.0921938,0.0403473,0.00574715,0
22000,1523,1602-3,0,0.129457,0.0149284,0.0289206,0
23000,1523,1602-3,0,0.205225,-0.0119005,0.0798307,0
24000,1523,1602-3,0,0.14627,-0.0156151,0.00388661,0
25000,1523,1602-3,0,0.30395,-0.0457666,0.0238236,0
26000,1523,1602-3,0,0.232982,-0.0257377,0.0750078,0
26000,1602-3,1605-3,22.9862,0.3111,-0.0828553,0.0879766,0
27000,1523,1602-3,0,0.135392,2.03893e-05,0.0222545,0
28000,1523,1602-3,0,0.194793,-0.0207071,0.0086357,0
29000,1523,1602-3,0,0.186316,0.0191136,0.118587,0
29000,1535,NA,26.7723,0.588619,0.0484539,0.0799743,0
30000,1523,1602-3,0,0.0776835,0.015743,0.0038095,0
31000,1523,1602-3,0,0.196251,-0.020455,0.0324544,0
32000,1523,1602-3,0,0.379921,-0.0306407,0.203738,0
32000,1602-3,1605-3,18.1888,0.548216,-0.0197434,0.139773,0
33000,1523,1602-3,0,0.321693,-0.0394345,0.018685,0
33000,1649-1,NA,26.6922,0.65572,-0.0201137,0.835103,0
34000,1523,1602-3,0,0.103837,0.0384414,0.027364,0
35000,1523,1602-3,0,0.121175,0.018411,0.0318308,0
35000,1534,NA,24.6201,0.0606939,0.00404852,0.0785828,0
36000,1523,1602-3,0,0.0824652,0.0318704,0.0543568,0
37000,1523,1602-3,0,0.338324,-0.0135838,0.188788,0
38000,1523,1602-3,0,0.0976308,0.0129804,0.00612902,0
39000,1523,1602-3,0,0.128915,0.00395904,0.0676049,0
40000,1523,1602-3,0,0.245202,-0.0278991,0.0246644,0
41000,1523,1602-3,0,0.262497,-0.0337279,0.0982675,0
42000,1523,1602-3,0,0.406746,-0.0265885,0.145567,0
43000,1523,1602-3,0,0.296179,-0.029884,0.0772681,0
44000,1523,1602-3,0,0.194268,-0.0151511,0.0782297,0
45000,1523,1602-3,0,0.108738,-0.00852044,0.0229665,0
45000,1602-3,1605-3,23.5026,0.306559,-0.0294023,0.0538241,0
46000,1523,1602-3,0,0.2271,-0.00381375,0.0821665,0
47000,1523,1602-3,0,0.206738,-0.0231875,0.0121754,0
48000,1523,1602-3,0,0.258054,-0.0305861,0.0804641,0
49000,1523,1602-3,0,0.118684,0.00643665,0.0593351,0
50000,1523,1602-3,0,0.35882,-0.0344827,0.081587,0
51000,1523,1602-3,0,0.22983,-0.0264412,0.0762167,0
52000,1523,1602-3,0,0.095232,0.0670642,0.0893509,0
53000,1523,1602-3,0,0.131668,0.0139814,0.0756483,0
54000,1523,1602-3,0,0.13012,-0.00347087,0.0400007,0
55000,1523,1602-3,0,0.0895608,0.0591044,0.03703,0
55000,1655-1,NA,25.9045,0.102789,-0.0447022,0.633125,0
56000,1523,1602-3,0,0.142119,-0.00332119,0.0839149,0
57000,1523,1602-3,0,0.179805,-0.0239532,0.00990647,0
58000,1523,1602-3,0,0.153277,-0.00393377,0.044118,0
59000,1523,1602-3,0,0.177759,-0.0110197,0.078676,0
59000,1526,NA,23.7124,0.653393,0.048706,0.0930728,0
59000,1554,1625-u,13.5979,0.418854,-0.0668917,0.220551,0
60000,1523,1602-3,0,0.561215,-0.0330156,0.173399,0
61000,1523,1602-3,0,0.369784,-0.04864,0.0891513,0
62000,1523,1602-3,0,0.132341,0.0252506,0.068779,0
63000,1523,1602-3,0,0.174105,-0.0260034,0.0108299,0
64000,1523,1602-3,0,0.215846,-0.0273768,0.0287834,0
65000,1523,1602-3,0,0.0735654,0.0195095,0.0100581,0
66000,1523,1602-3,0,0.205087,-0.0221653,0.0536743,0
67000,1523,1602-3,0,0.0731923,0.0733306,0.0137259,0
68000,1523,1602-3,0,0.10621,0.00247146,0.0395325,0
68000,1628-3,1646,16.2603,0.295502,-0.0471371,0.0745598,0
69000,1523,1602-3,0,0.139377,-0.0093775,0.0386282,0
69000,1555,NA,26.9278,0.0149162,0.0259031,0.466594,0
70000,1523,1602-3,0,0.324222,-0.0414538,0.0988319,0
71000,1523,1602-3,0,0.252904,-0.0160272,0.131282,0
72000,1523,1602-3,0,0.0630374,0.0405448,0.00326528,0
73000,1523,1602-3,0,0.0875975,0.0416756,0.0276955,0
74000,1523,1602-3,0,0.170247,-0.00799052,0.0460896,0
75000,1523,1602-3,0,0.269661,-0.0193868,0.0937107,0
76000,1523,1602-3,0,0.112736,0.00756608,0.0149574,0
77000,1523,1602-3,0,0.130319,0.00574834,0.0330641,0
78000,1523,1602-3,0,0.416858,-0.0458111,0.0412056,0
79000,1523,1602-3,0,0.347673,-0.0419323,0.0785333,0
80000,1523,1602-3,0,0.223871,-0.0225835,0.0112673,0
81000,1523,1602-3,0,0.12865,-0.00464797,0.0236026,0
82000,1523,1602-3,0,0.0839557,0.0620675,0.0681859,0
83000,1523,1602-3,0,0.106683,0.0383852,0.131195,0
84000,1523,1602-3,0,0.151326,-0.0051695,0.0100058,0
85000,1523,1602-3,0,0.102551,0.00845399,0.000345364,0
86000,1523,1602-3,0,0.0812453,0.0274439,0.00367745,0
87000,1523,1602-3,0,0.0919197,0.0700312,0.04797,0
88000,1523,1602-3,0,0.465779,-0.0456262,0.151492,0
89000,1523,1602-3,0,0.298049,-0.0270971,0.0406559,0
89000,LW3-1,NA,27.0132,0.278647,-0.0235513,0.55511,0
90000,1523,1602-3,0,0.175446,-0.00572224,0.0443026,0
91000,1523,1602-3,0,0.0956391,0.0401044,0.00725575,0
92000,1523,1602-3,0,0.10306,0.0205416,0.00171021,0
93000,1523,1602-3,0,0.0854125,0.0144444,0.0250926,0
94000,1523,1602-3,0,0.0581833,0.0735537,0.00164914,0
95000,1523,1602-3,0,0.157921,-0.0118638,0.0682867,0
96000,1523,1602-3,0,0.266015,-0.0165436,0.13955,0
97000,1523,1602-3,0,0.0696811,0.0479057,0.00520112,0
98000,1523,1602-3,0,0.193589,-0.0227131,0.0068051,0
99000,1523,1602-3,0,0.0874304,0.0158748,0.0051385,0
100000,1523,1602-3,0,0.100358,0.0222121,0.0245585,0
101000,1523,1602-3,0,0.086497,0.000951506,0.0139695,0
102000,1523,1602-3,0,0.397709,-0.0510646,0.0653737,0
103000,1523,1602-3,0,0.205686,-0.00919365,0.138736,0
104000,1523,1602-3,0,0.0899162,0.0326583,0.0553452,0
105000,1523,1602-3,0,0.102968,0.00417833,0.00492051,0
106000,1523,1602-3,0,0.300138,-0.0262737,0.072895,0
107000,1523,1602-3,0,0.197936,-0.0241454,0.00035175,0
108000,1523,1602-3,0,0.151537,-0.00710984,0.00366076,0
109000,1523,1602-3,0,0.119826,0.0291841,0.0193435,0
