generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1544,1602-3,0,0.032,0,0.00834463,0
1000,1544,1602-3,0,0.208674,-0.0210364,0.0014224,0
2000,1544,1602-3,0,0.158922,0.0050189,0.115427,0
3000,1544,1602-3,0,0.144561,-0.0157561,0.0169703,0
4000,1544,1602-3,0,0.0571799,0.103385,0.0160147,0
5000,1544,1602-3,0,0.214741,-0.0298992,0.0667106,0
6000,1544,1602-3,0,0.21688,-0.0298201,0.0338915,0
7000,1544,1602-3,0,0.230155,-0.0190407,0.0410494,0
7000,1551,NA,23.6307,0.324226,0.0364759,0.258036,0
8000,1544,1602-3,0,0.224556,-0.0412538,0.00401473,0
9000,1544,1602-3,0,0.228158,-0.0330596,0.0171098,0
10000,1544,1602-3,0,0.128298,-0.00021391,0.0009176,0
11000,1544,1602-3,0,0.289184,-0.0307285,0.130398,0
12000,1544,1602-3,0,0.22541,-0.0301688,0.0407146,0
13000,1544,1602-3,0,0.102733,0.00351589,0.00920125,0
14000,1544,1602-3,0,0.216065,-0.0192592,0.00232898,0
15000,1544,1602-3,0,0.238103,-0.0217815,0.0479155,0
16000,1544,1602-3,0,0.0966903,0.0666255,0.0467679,0
17000,1544,1602-3,0,0.0958734,0.0191047,0.00315117,0
18000,1544,1602-3,0,0.23334,-0.028059,0.0386573,0
19000,1544,1602-3,0,0.363661,-0.0400394,0.0668002,0
20000,1544,1602-3,0,0.292273,-0.0312581,0.0705511,0
21000,1544,1602-3,0,0.113259,0.00305675,0.027982,0
22000,1544,1602-3,0,0.13728,0.0223484,0.0526934,0
23000,1544,1602-3,0,0.100984,-0.0176871,0.0146584,0
24000,1544,1602-3,0,0.211561,-0.00754587,0.117057,0
25000,1544,1602-3,0,0.104893,0.0199552,0.0295544,0
26000,1544,1602-3,0,0.223501,-0.00720989,0.0768859,0
27000,1544,1602-3,0,0.11042,-0.0244845,0.0207146,0
27000,1602-3,1605-3,7.57893,0.419307,-0.0117322,0.204851,0
28000,1544,1602-3,0,0.143676,-0.0065564,0.01184,0
29000,1544,1602-3,0,0.110459,-0.00928993,0.0163704,0
30000,1544,1602-3,0,0.116564,0.000380997,0.00414425,0
31000,1544,1602-3,0,0.0859395,0.0415209,0.0282069,0
32000,1544,1602-3,0,0.092718,0.0848814,0.0121974,0
33000,1544,1602-3,0,0.200322,-0.0194439,0.0190006,0
34000,1544,1602-3,0,0.356175,-0.0323018,0.131537,0
35000,1544,1602-3,0,0.189069,-0.0267752,0.031158,0
36000,1544,1602-3,0,0.138918,-0.0167626,0.0662157,0
36000,LW3-1,NA,29.2933,0.243731,0.0129971,0.0147798,0
37000,1544,1602-3,0,0.255298,-0.0285434,0.0614741,0
38000,1544,1602-3,0,0.213847,-0.0226032,0.102922,0
39000,1544,1602-3,0,0.319037,-0.0353643,0.0345157,0
40000,1544,1602-3,0,0.0841425,0.104158,0.027805,0
41000,1544,1602-3,0,0.20663,-0.0056591,0.0558289,0
42000,1544,1602-3,0,0.22228,-0.0164264,0.0437022,0
43000,1544,1602-3,0,0.139169,-0.00799575,0.0406394,0
44000,1544,1602-3,0,0.147322,0.00964115,0.120997,0
44000,1532,NA,21.9742,0.421616,-0.0252243,0.482877,0
44000,1544,1628-3,0.823206,0.128125,-0.0170821,0.00310829,0
44000,1602-3,NA,28.0267,0.0120871,0.0115866,0.018579,0
45000,1544,1602-3,0,0.0916385,0.0545004,0.0744988,0
46000,1544,1602-3,0,0.207224,-0.0145035,0.0639196,0
47000,1544,1602-3,0,0.103331,-0.00180161,0.0319194,0
48000,1544,1602-3,0,0.069402,0.0439027,7.16451e-05,0
49000,1544,1602-3,0,0.0831853,0.0283087,0.0180323,0
50000,1544,1602-3,0,0.159683,-0.005755,0.0147958,0
50000,1551,NA,27.2929,0.135547,-0.0125091,0.269063,0
51000,1544,1602-3,0,0.0876291,0.0191679,0.0469305,0
52000,1544,1602-3,0,0.0976255,0.00242671,0.0151363,0
52000,1549,NA,26.7325,0.102161,-0.0695007,0.383621,0
53000,1544,1602-3,0,0.0761754,0.0515013,0.0112858,0
54000,1544,1602-3,0,0.223038,-0.0135697,0.0163384,0
55000,1544,1602-3,0,0.201773,-0.0303205,0.0326413,0
56000,1544,1602-3,0,0.307924,-0.0284749,0.0801722,0
56000,1635-2,NA,27.0151,0.219232,-0.00287957,0.118245,0
56000,1554,1556,22.0226,0.394732,-0.039876,0.0680698,0
57000,1544,1602-3,0,0.170054,-0.0116879,0.0159752,0
58000,1544,1602-3,0,0.132242,-0.0182631,0.00992771,0
59000,1544,1602-3,0,0.191512,-0.0127269,0.0312219,0
60000,1544,1602-3,0,0.2104,-0.0124572,0.0956934,0
61000,1544,1602-3,0,0.138556,-0.00375417,0.0200318,0
62000,1544,1602-3,0,0.234079,-0.0375855,0.0506997,0
63000,1544,1602-3,0,0.238,-0.0278512,0.0375991,0
64000,1544,1602-3,0,0.110107,0.0187383,0.0670293,0
65000,1544,1602-3,0,0.140036,-0.0055653,0.00908862,0
66000,1544,1602-3,0,0.371951,-0.051105,0.0285763,0
67000,1544,1602-3,0,0.211768,-0.0149085,0.0177065,0
68000,1544,1602-3,0,0.100873,-0.0119879,0.00582686,0
68000,1549,NA,26.2808,0.0146938,0.0265819,0.553485,0
68000,1516,NA,25.261,0.132194,0.00277876,0.12163,0
68000,1602-3,1605-3,23.5311,0.385091,-0.00752779,0.232457,0
69000,1544,1602-3,0,0.300099,-0.0345727,0.0551206,0
70000,1544,1602-3,0,0.243374,-0.0414623,0.0049388,0
70000,1611-2,1592-2,14.5308,0.206304,0.0115409,0.259175,0
70000,1629-3,NA,27.8345,0.683953,0.0678935,0.324905,0
70000,1602-3,1605-3,2.30011,0.31394,-0.0073064,0.217485,0
71000,1544,1602-3,0,0.09462,0.0133869,0.0380478,0
72000,1544,1602-3,0,0.0878714,0.0355221,0.00224328,0
73000,1544,1602-3,0,0.0902005,0.0199245,0.0687811,0
73000,1625-u,NA,29.5931,0.302991,0.0563597,0.0609637,0
73000,1594-2,NA,28.4385,0.316755,-0.0578884,0.527195,0
74000,1544,1602-3,0,0.0786047,0.0240829,0.00282351,0
74000,1547,NA,25.4547,0.00706035,0.0226803,0.116903,0
75000,1544,1602-3,0,0.18328,-0.0151928,0.0299579,0
76000,1544,1602-3,0,0.0795241,0.0291921,0.0277525,0
77000,1544,1602-3,0,0.131266,-0.0152619,0.000305666,0
78000,1544,1602-3,0,0.212887,-0.0229097,0.0572646,0
79000,1544,1602-3,0,0.280978,-0.0291859,0.0311465,0
80000,1544,1602-3,0,0.292414,-0.0406631,0.0148572,0
81000,1544,1602-3,0,0.163024,-0.0144529,0.0349218,0
82000,1544,1602-3,0,0.0623727,0.019645,0.00280512,0
83000,1544,1602-3,0,0.119887,0.00791621,0.0160112,0
84000,1544,1602-3,0,0.200947,-0.0133292,0.0213358,0
84000,1628-3,1646,7.40678,0.253471,-0.0416324,0.110296,0
85000,1544,1602-3,0,0.195567,-0.0196835,0.0199934,0
85000,1628-3,1646,20.9586,0.17546,0.00699099,0.158345,0
86000,1544,1602-3,0,0.0572647,0.0630404,0.00146836,0
87000,1544,1602-3,0,0.191697,-0.0209276,0.0349652,0
88000,1544,1602-3,0,0.397798,-0.0618687,0.0135306,0
89000,1544,1602-3,0,0.0888444,0.0126772,0.00819316,0
90000,1544,1602-3,0,0.119971,0.0195016,0.0725282,0
91000,1544,1602-3,0,0.387664,-0.0419549,0.109583,0
92000,1544,1602-3,0,0.214295,-0.0330738,0.0131368,0
93000,1544,1602-3,0,0.113561,0.00695947,0.0111663,0
94000,1544,1602-3,0,0.110326,0.0306776,0.0510298,0
95000,1544,1602-3,0,0.276644,-0.0306082,0.0456361,0
96000,1544,1602-3,0,0.111349,0.00644665,0.0281785,0
97000,1544,1602-3,0,0.225519,-0.0285553,0.031768,0
98000,1544,1602-3,0,0.287114,-0.0290453,0.021985,0
99000,1544,1602-3,0,0.345952,-0.0404701,0.125824,0
100000,1544,1602-3,0,0.314003,-0.0443407,0.00364041,0
101000,1544,1602-3,0,0.252627,-0.038823,0.0867152,0
102000,1544,1602-3,0,0.0768963,0.0110952,0.00162807,0
102000,1516,NA,28.9675,1.78757,0.00484056,0.229336,0
103000,1544,1602-3,0,0.0765378,0.00275416,0.0180953,0
104000,1544,1602-3,0,0.290728,-0.0424092,0.0540474,0
105000,1544,1602-3,0,0.115206,0.0130881,0.0231119,0
106000,1544,1602-3,0,0.0992961,0.0110492,0.0100504,0
107000,1544,1602-3,0,0.203603,-0.025974,0.0197557,0
108000,1544,1602-3,0,0.0872436,0.0329693,0.0337744,0
109000,1544,1602-3,0,0.213326,-0.0278912,0.00938968,0
110000,1544,1602-3,0,0.0831721,0.0125687,0.0442864,0
111000,1544,1602-3,0,0.137862,-0.0168574,0.019796,0
112000,1544,1602-3,0,0.103606,0.00207831,0.0051333,0
113000,1544,1602-3,0,0.119722,0.000693609,0.0264801,0
114000,1544,1602-3,0,0.121376,0.00367535,0.0277435,0
114000,1628-3,1646,19.3689,0.293146,-0.0834755,0.221674,0
115000,1544,1602-3,0,0.07198,0.116091,0.00934039,0
116000,1544,1602-3,0,0.0869706,0.0229773,0.0482093,0
117000,1544,1602-3,0,0.0693958,0.0514295,0.00945926,0
118000,1544,1602-3,0,0.0882815,0.0503202,0.00134876,0
119000,1544,1602-3,0,0.203646,-0.016167,0.0323843,0
120000,1544,1602-3,0,0.278434,-0.0271513,0.046157,0
121000,1544,1602-3,0,0.0974836,0.0182159,0.0147607,0
