"Collection","Sample","Species","Plant_height","Veg_height","Leaf_width","Leaf_length","Sheath_length","Leaf_roll","Leaf_dry","Internode_dist","Culm_diam","Inflor_length","Spikelet_no","Pedicel_length_epu","Glume_length_outer","Glume_length_inner","Spikelet_width","Spikelet_length","Lemma_outer_length","Lemma_inner_length","Striation_no","Lemma_tip","Hair_tuft"
1633,5,"E_setacea_setacea",335,275,2.2,46.17,13.94,1,0,8.95,0.9,29.14,6,46,66,51,15,50,15,50,0,2,0
1583,1,"E_rehmannii_filiformis",385,370,0.68,11.52,16.51,1,1,76.78,0.54,9.9,1,26,51,47,15,46,34,42,12,0,1
1583,3,"E_rehmannii_filiformis",345,325,1,13.1,8.96,1,1,54.35,0.73,8.96,1,18,41,40,13,42.5,35.5,40.5,10,0,1
1,2,"E_rehmannii_filiformis",650,545,2.74,63.59,37.39,1,0,81.35,0.89,48.06,7,56,78,74,19,64,60,60,17,0,1
1,5,"E_rehmannii_filiformis",625,545,1.64,75.42,29.58,1,0,70.26,1.04,40.39,7,49,69.5,68,15.5,62,60,57,17,0,1
4,3,"E_rehmannii_filiformis",545,455,1.58,24.39,26.4,1,0,66.05,0.89,40.75,10,23,65,61.5,15,59,49,52,7,1,1
4,2,"E_rehmannii_filiformis",570,535,2.14,53.33,20.87,1,1,52.65,1.02,25.37,5,28,56.5,57,14,50,47,49,7,1,1
1591,2,"E_rehmannii_filiformis",465,415,2.32,42.71,29.86,0,0,51.72,0.77,16.09,4,36,51,50,14,51.5,39,48.5,11,0,1
1591,6,"E_rehmannii_filiformis",550,485,1.64,26.4,18.53,1,1,64.48,0.67,10.38,3,18,55,54.5,16,55,45,51,11,0,1
1592,1,"E_rehmannii_filiformis",455,400,0.94,21.7,12.13,1,0,42.62,0.22,9.17,2,19,44,42,14,47,41,44,8,0,1
1592,2,"E_rehmannii_filiformis",450,415,1.22,29.68,19.23,1,0,34.69,0.48,8.15,1,40,52,54,15,50,44,46,5,0,1
1615,3,"E_rehmannii_filiformis",240,210,0.56,14.94,12.12,1,1,52.34,0.69,12.08,2,40,56,55.5,15,56,47,52,19,0,1
1615,6,"E_rehmannii_filiformis",470,445,0.84,17.47,11.02,1,0,66.14,0.6,9.05,1,31,53,54,15.5,54,46,51,15,0,1
1658,1,"E_rehmannii_filiformis",420,405,1.3,32.28,20.1,1,1,71.95,0.91,9.42,1,37,55,52.5,17,58,51.5,55,11,1,1
1658,5,"E_rehmannii_filiformis",365,305,1.66,24.53,18.85,1,1,69.39,0.71,13.04,2,46,57,55,16,59,52.5,56,15,1,1
1566,1,"E_ramosa_aphylla",610,450,1.34,6.93,45.67,1,1,100.37,2.29,76.09,12,65,94,95,25,74,66,71.5,17,1,1
1566,4,"E_ramosa_aphylla",405,245,1.02,4.16,46.46,1,1,110.49,1.46,66.19,18,49,68,70,18,61,57,59,0,1,1
1570,5,"E_ramosa_aphylla",530,390,1.36,16.07,57.19,1,1,141.68,1.12,47.68,9,42,83,84,16.5,67,61,62,22,1,1
1570,6,"E_ramosa_aphylla",460,330,0.92,7.48,48.42,1,1,111.22,1.56,40.11,9,43,91,85,18,67,62,64.5,20,1,1
1576,6,"E_ramosa_aphylla",355,250,0.67,6.31,48.49,1,1,118.8,1.57,38.3,7,56.5,78.5,77.5,18,64,53,59,20,1,1
1576,5,"E_ramosa_aphylla",420,240,1.32,22.42,59.55,1,1,113.91,1.64,59.63,12,90,81,83,25,66,58,62,0,1,1
1601,2,"E_ramosa_aphylla",550,480,1.28,22.65,36.02,1,1,114.83,1.49,36.99,12,37.5,64,63,15,52,43,50,0,1,1
1601,3,"E_ramosa_aphylla",880,630,0.9,26.15,58.54,1,1,129.5,1.6,80.2,25,86,69.5,74,16,57.5,50.5,53,0,1,1
1609,1,"E_ramosa_aphylla",540,450,0.83,11.83,44.57,1,1,93.59,1.61,44.11,10,37,60,59,20,59,51,54,0,1,1
1609,3,"E_ramosa_aphylla",520,465,0.86,16.55,43.34,1,1,177,1.47,38.05,10,17,68,67,23,66,62,56,0,1,1
1622,2,"E_ramosa_aphylla",440,340,0.52,7.41,49.84,1,1,133.01,0.49,49.63,14,62,63,64,24,60,54,58,0,1,1
1622,4,"E_ramosa_aphylla",595,410,1.26,10.07,31.75,1,1,92.28,1.45,71.95,23,81,67.5,69,19,67,59,64,0,1,1
1560,1,"E_ramosa_ramosa",565,430,0.77,8.33,42.92,1,1,158,1.54,43.68,13,37,59.5,62,16,58,51,55,0,1,1
1560,6,"E_ramosa_ramosa",395,340,1.46,9.6,40.98,1,1,94.49,1.88,41.23,17,20,51,51,20,57,49,51,0,1,1
1588,5,"E_ramosa_ramosa",630,535,1.33,8.63,65.08,1,1,104.03,2.74,108.93,33,44,62,66,22,68,58,64,0,1,1
1588,3,"E_ramosa_ramosa",715,635,1.16,7.23,67.78,1,1,102.7,3.19,89.34,24,42,64,67,22,69,59,66,0,1,1
1585,6,"E_ramosa_ramosa",775,660,1,6.88,40.63,1,1,132.21,2.67,50.61,15,40,51,51,19,61,55.5,58,0,1,1
1585,3,"E_ramosa_ramosa",1210,1060,0.49,5.34,42.64,1,1,234,2.45,85.51,26,71,64,63.5,17,62.5,52,59,0,1,1
1606,2,"E_ramosa_ramosa",525,440,0.93,5.07,53.76,1,1,100.25,1.73,45.79,13,50,62,62,17,63,55,59,0,1,1
1606,3,"E_ramosa_ramosa",550,435,1.76,5.91,33.99,1,1,91.23,1.95,46.1,18,48,51,52,20,54.5,47,54,0,1,1
1611,3,"E_ramosa_ramosa",850,705,0.79,6.94,66.76,1,1,113.68,2.55,67.52,19,46,61,63.5,23,66,58,63,0,1,1
1611,2,"E_ramosa_ramosa",920,755,1.26,6.31,72.49,1,1,97.45,2.24,90.52,27,75,62.5,65,23,71,63,69,0,1,1
1624,2,"E_ramosa_ramosa",490,300,0.75,2.54,79.22,1,1,182.5,1.93,63.27,17,85,67.5,71,24,82,74,80,0,1,1
1624,3,"E_ramosa_ramosa",510,315,2.24,3.48,73.88,1,1,178,2.1,54.89,15,49,70,71,22,86,74,81,0,1,1
1626,3,"E_ramosa_ramosa",680,370,0.81,3.54,87.17,1,1,141.97,2.37,71.92,19,72,60,64,20,68,60,65,0,1,1
1626,6,"E_ramosa_ramosa",690,510,1.46,17.35,36.66,1,1,57.8,2,67.95,15,95,66,66,20,69,60,65,0,1,1
1635,6,"E_ramosa_ramosa",940,700,0.94,7.21,98.72,1,1,102.76,2.62,62.06,10,64,69.5,65,23,70,61,65,0,1,1
1635,3,"E_ramosa_ramosa",530,355,1.15,9.25,73.2,1,1,99.6,2.26,113.96,22,96,77,76,18,81,64.5,70,0,0,1
1643,3,"E_ramosa_ramosa",680,530,1.76,9.71,66.98,1,1,105.52,2.8,83.97,14,41,63,62.5,18,69,61,65,0,1,1
1643,6,"E_ramosa_ramosa",590,350,1.31,6.5,42.91,1,1,117.3,2.42,60.36,10,80,63,65,22,74,60.5,65,0,1,1
1645,6,"E_ramosa_ramosa",540,380,1.32,11.92,43.42,1,1,93.97,1.84,72.56,16,39,62,63.5,18,66,58,62,0,1,1
1645,1,"E_ramosa_ramosa",735,485,1.68,24.75,68.23,1,1,129.26,2.27,87.52,19,66.5,67,70,17,75,63,69,0,1,1
1654,6,"E_ramosa_ramosa",560,390,0.85,4.44,48.28,1,1,104.14,2.06,77.62,24,41,65,62,20,72,65,68,0,1,1
1654,4,"E_ramosa_ramosa",450,300,0.87,3.85,47.2,1,1,83.95,1.58,46.76,7,36.5,78,77,18,70,58,65,0,1,1
1656,3,"E_ramosa_ramosa",445,330,1.01,3.05,38.18,1,1,78.5,2.76,60.72,13,51,62,60,19,67,58,62.5,0,0,1
1656,5,"E_ramosa_ramosa",700,485,1.1,2.99,42.14,1,1,101.44,2.3,46.86,18,51,64,68.5,16,62,51.5,58,0,0,1
123,2,"E_rupestris_rupestris",240,165,2.72,34.54,16.03,2,0,3.94,1.18,27.81,8,25,22,22,17,46,22.5,44,0,2,0
2,2,"E_rupestris_rupestris",310,250,0.98,9.11,8.55,2,0,2.35,0.84,25.88,6,34,15,17,13,50,24.5,50,0,2,0
1559,2,"E_rupestris_rupestris",310,200,2.5,30.67,14.71,2,0,4.63,1.09,29.18,6,28.5,27,28.5,14,52,23,52,0,2,0
1559,3,"E_rupestris_rupestris",220,145,2.79,30.29,15.57,2,0,4.47,1.13,29.5,6,44,19,21,18,54,26,54,0,2,0
1605,1,"E_rupestris_rupestris",325,210,3.42,36.67,13.64,2,0,6.08,1.14,30.62,6,29.5,22.5,24,15,49,20,48,0,2,0
1605,3,"E_rupestris_rupestris",295,200,2.48,36.89,14.63,2,0,6.31,1.41,24.47,5,33,23,24,20,47,25,46,0,2,0
1634,1,"E_rupestris_rupestris",415,375,2.62,40.49,15.97,2,0,3.6,1.32,23.39,5,26,19,18,19,48.5,18,47.5,0,2,0
1634,2,"E_rupestris_rupestris",385,275,3.16,25.79,12.59,2,0,3.5,0.95,25.42,5,23,18,21,16,52,26,52,0,2,0
1655,2,"E_rupestris_rupestris",290,185,2.38,23.38,11.92,2,0,4.67,0.85,30.23,6,41,19,20.5,16.5,55,28,54,0,2,0
1655,1,"E_rupestris_rupestris",300,210,1.44,18.67,9.86,2,0,6.28,0.62,30.23,5,41,18,20,15,54.5,27.5,54.5,0,2,0
1565,2,"E_rupestris_dodii",260,255,1.02,61.1,11.11,1,0,37.19,0.54,13.44,3,16,12,11,12,43,14,42.5,0,2,0
1565,4,"E_rupestris_dodii",230,230,1.24,74.29,18.78,1,0,26.88,0.46,11.48,3,18,15,13,11,43.5,14,43,0,2,0
1578,6,"E_rupestris_dodii",250,220,0.86,48.71,13.66,1,0,22.98,0.67,11.2,2,21,14,14.5,13,46,16.5,43,0,2,0
1578,2,"E_rupestris_dodii",245,245,1.1,61.86,12.15,1,0,23.92,0.43,10.34,2,27,16,17,9,44,14,42,0,2,0
1602,1,"E_rupestris_dodii",240,220,0.75,66.86,5.78,1,0,19.13,0.27,10.22,1,44,17,17.5,12,54,12,54,0,2,0
1602,3,"E_rupestris_dodii",255,195,0.72,44.02,6.75,1,0,13.06,0.43,11.11,1,43.5,16,15,13,52,20,52,0,2,0
1616,1,"E_rupestris_dodii",210,190,0.61,42.19,8.99,1,0,6.65,0.38,10.45,2,8,12,13,10,42,13,40,0,2,0
1616,4,"E_rupestris_dodii",135,130,1.18,48.25,8.32,1,0,10.92,0.28,8.95,2,15,14,14,11,43,14,41,0,2,0
1639,3,"E_rupestris_dodii",580,530,1.38,76.4,25.11,1,0,46.93,0.52,15.72,2,21,11,14,12,46.5,14,46,0,2,0
1639,4,"E_rupestris_dodii",530,450,1.12,32.24,22.6,1,0,56.85,0.58,15.94,2,71,19,18,13,53,16,51.5,0,2,0
1558,3,"E_rupestris_tricostata",330,335,0.94,25.46,11.91,1,0,17.47,0.85,16.88,3,26,38.5,37,16.5,57.5,17,56,0,2,0
1558,6,"E_rupestris_tricostata",320,305,0.9,20.01,6.83,1,0,7.08,1.15,15.42,3,29,32.5,30,15,53,14.5,50,0,2,0
1579,2,"E_rupestris_tricostata",410,230,2.42,38.26,46.09,1,1,160.5,1.32,35.1,6,28,22,36,13,57,16,56,0,2,0
1579,1,"E_rupestris_tricostata",400,300,2.22,44.36,46.37,1,1,188.5,0.97,37.28,6,9.5,26,28,11,71,26,69,0,2,0
1586,3,"E_rupestris_tricostata",570,510,1.8,46.35,14.73,1,0,22.75,1,28.27,5,44,34,33,16,50.5,15,49,0,2,0
1586,5,"E_rupestris_tricostata",430,365,2.38,55.51,20.73,1,0,31.22,0.86,31.65,6,64,33,30,17,56,19,54,0,2,0
1594,1,"E_rupestris_tricostata",440,350,1.98,60.61,26.38,1,1,93.98,1.18,32.54,7,9,18.5,19,13,51.5,14.5,51,0,2,0
