generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
87000,1544,1629-3,0,0.130589,0.0100993,0.049749,0
88000,1544,1629-3,0,0.102305,0.0253424,0.0843875,0
88000,1544,1556,12.1856,0.24904,-0.0586481,0.0612163,0
89000,1544,1629-3,0,0.0792029,0.0469422,0.00732916,0
90000,1544,1629-3,0,0.231083,-0.017208,0.0464464,0
91000,1544,1629-3,0,0.31985,-0.0439517,0.031234,0
92000,1544,1629-3,0,0.20544,-0.0159336,0.0349219,0
93000,1544,1629-3,0,0.310901,-0.038807,0.0726189,0
94000,1544,1629-3,0,0.0835189,0.0263109,0.0138596,0
95000,1544,1629-3,0,0.073445,0.112819,0.00442842,0
96000,1544,1629-3,0,0.0959473,0.0678427,0.113572,0
97000,1544,1629-3,0,0.191608,-0.00663345,0.0151184,0
98000,1544,1629-3,0,0.19062,-0.0148052,0.026484,0
99000,1544,1629-3,0,0.152031,-0.00449848,0.0268774,0
100000,1544,1629-3,0,0.321398,-0.0392729,0.00608371,0
100000,1550,NA,24.5504,1.42621,0.0231859,0.114865,0
101000,1544,1629-3,0,0.308413,-0.0407783,0.0423318,0
102000,1544,1629-3,0,0.458752,-0.0396126,0.154426,0
103000,1544,1629-3,0,0.226644,-0.0152293,0.113876,0
104000,1544,1629-3,0,0.325606,-0.0400528,0.0820107,0
105000,1544,1629-3,0,0.204492,-0.0286965,0.00846652,0
106000,1544,1629-3,0,0.112012,0.00745276,0.00593907,0
106000,1592-2,NA,26.9167,0.101879,0.0206821,0.335105,0
107000,1544,1629-3,0,0.271516,-0.0176584,0.0826389,0
108000,1544,1629-3,0,0.338224,-0.0244108,0.128131,0
109000,1544,1629-3,0,0.0862175,0.0362585,0.0190905,0
110000,1544,1629-3,0,0.0891237,0.00753301,0.0154595,0
111000,1544,1629-3,0,0.101816,0.03235,0.0583999,0
112000,1544,1629-3,0,0.179084,-0.016879,0.00086967,0
112000,1625-u,NA,26.1594,0.0269511,0.0212093,0.688831,0
113000,1544,1629-3,0,0.212549,-0.0214859,0.0805587,0
114000,1544,1629-3,0,0.266048,-0.0305927,0.0470371,0
114000,1542,1543,26.3847,0.330769,0.0718906,0.5189,0
115000,1544,1629-3,0,0.0801658,0.0224125,0.000676155,0
116000,1544,1629-3,0,0.17504,0.000861909,0.0969163,0
117000,1544,1629-3,0,0.085039,0.0947148,0.0473574,0
117000,1532,NA,21.3372,0.0629346,-0.00457554,0.247951,0
117000,1534,NA,27.352,0.720996,0.0265456,0.716723,0
118000,1544,1629-3,0,0.172432,-0.0161333,0.00848892,0
118000,1532,NA,22.1336,0.00146446,-0.0505702,0.0719398,0
119000,1544,1629-3,0,0.212307,0.0323848,0.295739,0
119000,1544,1622-1,7.43593,0.317085,-0.0550402,0.0464168,0
120000,1544,1629-3,0,0.250786,-0.0205493,0.057502,0
121000,1544,1629-3,0,0.311131,-0.0293624,0.0241948,0
121000,1628-3,1646,7.19628,0.212726,-0.0835526,0.330185,0
122000,1544,1629-3,0,0.128238,-0.0167568,0.0143182,0
122000,1628-3,1646,17.6572,0.351401,0.0551113,0.346934,0
123000,1544,1629-3,0,0.0981973,0.0254207,0.0360901,0
124000,1544,1629-3,0,0.0792956,0.0531584,0.0396344,0
125000,1544,1629-3,0,0.257641,-0.0157437,0.0670832,0
125000,1535,NA,26.3974,0.265991,0.0471027,0.0727528,0
126000,1544,1629-3,0,0.262182,-0.0344313,0.0383522,0
127000,1544,1629-3,0,0.16394,-0.0264189,0.0148889,0
128000,1544,1629-3,0,0.0881384,0.0219234,0.0100701,0
129000,1544,1629-3,0,0.0887166,0.027323,0.0263512,0
130000,1544,1629-3,0,0.229088,-0.0283836,0.0348697,0
131000,1544,1629-3,0,0.0830822,0.0314393,0.00313407,0
132000,1544,1629-3,0,0.145449,-0.00936069,0.0143015,0
132000,1649-1,NA,25.6318,0.556115,0.0348802,0.0833748,0
133000,1544,1629-3,0,0.13044,-0.000531392,0.0275213,0
134000,1544,1629-3,0,0.113297,0.0200142,0.0152203,0
135000,1544,1629-3,0,0.19182,-0.0177667,0.0387263,0
136000,1544,1629-3,0,0.181054,-0.0126218,0.010033,0
137000,1544,1629-3,0,0.411464,-0.0420532,0.104526,0
138000,1544,1629-3,0,0.222671,-0.0299304,0.00454643,0
139000,1544,1629-3,0,0.0978353,0.0227729,0.0724624,0
139000,1555,NA,26.7945,0.429003,-0.0301721,0.9697,0
139000,1628-3,NA,28.4133,0.157379,0.0261038,0.157739,0
140000,1544,1629-3,0,0.13806,0.0288847,0.120895,0
141000,1544,1629-3,0,0.42102,-0.0225736,0.3435,0
141000,1551,NA,25.4202,0.230604,0.0185684,0.301688,0
141000,1544,1622-1,7.62445,0.2849,-0.0366654,0.0299577,0
142000,1544,1629-3,0,0.172848,-0.0160684,0.0240194,0
143000,1544,1629-3,0,0.277444,-0.0177714,0.0289001,0
144000,1544,1629-3,0,0.149807,-0.0258116,0.0149852,0
145000,1544,1629-3,0,0.160451,-0.00559487,0.0615488,0
146000,1544,1629-3,0,0.216088,-0.02103,0.049336,0
147000,1544,1629-3,0,0.185634,-0.00807032,0.0362885,0
148000,1544,1629-3,0,0.171843,-0.0166773,0.00118439,0
149000,1544,1629-3,0,0.361151,-0.0261838,0.157811,0
150000,1544,1629-3,0,0.119291,0.000565341,0.00799785,0
150000,1605-3,NA,23.3428,0.134888,-0.0496331,0.0921977,0
151000,1544,1629-3,0,0.0835246,0.0370269,0.025554,0
152000,1544,1629-3,0,0.194759,-0.0187552,0.0628145,0
153000,1544,1629-3,0,0.150298,-0.0232124,0.00559511,0
154000,1544,1629-3,0,0.135663,-0.00924506,0.0390967,0
155000,1544,1629-3,0,0.0850954,0.0490904,0.0296822,0
156000,1544,1629-3,0,0.111964,-0.00544772,0.0435826,0
157000,1544,1629-3,0,0.300414,-0.0307463,0.0544367,0
158000,1544,1629-3,0,0.136408,0.00535554,0.0702241,0
159000,1544,1629-3,0,0.171455,-0.00304364,0.0800811,0
160000,1544,1629-3,0,0.091773,0.0646348,0.00960651,0
161000,1544,1629-3,0,0.101921,0.0138516,0.0266593,0
162000,1544,1629-3,0,0.0723396,0.0659182,0.00217493,0
162000,1555,NA,27.8212,0.0714348,0.0267451,0.124951,0
163000,1544,1629-3,0,0.0646611,0.037255,0.00814375,0
164000,1544,1629-3,0,0.083053,0.0493368,0.0129218,0
165000,1544,1629-3,0,0.0773914,0.0241819,0.0101449,0
165000,1622-1,1592-2,14.3513,0.287533,-0.00286111,0.431629,0
166000,1544,1629-3,0,0.082052,0.0763041,0.00809191,0
167000,1544,1629-3,0,0.0928131,0.0448637,0.00687367,0
168000,1544,1629-3,0,0.095166,0.00426036,0.0149026,0
169000,1544,1629-3,0,0.0625218,0.0887342,0.00635314,0
169000,1592-2,1649-1,23.8672,0.0762963,-0.0192321,0.00983058,0
170000,1544,1629-3,0,0.0746728,0.0477684,0.00209706,0
170000,LW3-1,NA,28.4315,0.00435753,-0.00380306,0.0889155,0
171000,1544,1629-3,0,0.306994,-0.0295942,0.00116652,0
171000,1519,NA,26.8495,0.873081,0.0259399,0.600134,0
171000,1625-u,NA,28.3828,2.45669,-0.00144567,0.0438797,0
171000,1628-3,1646,17.1099,0.481325,0.0247999,0.835364,0
172000,1544,1629-3,0,0.202011,-0.0225084,0.031154,0
173000,1544,1629-3,0,0.242989,-0.0223786,0.00521891,0
174000,1544,1629-3,0,0.421805,-0.0427364,0.151774,0
175000,1544,1629-3,0,0.573623,-0.0509139,0.072601,0
176000,1544,1629-3,0,0.183615,-0.0228062,0.0280163,0
177000,1544,1629-3,0,0.329773,-0.0414571,0.011158,0
178000,1544,1629-3,0,0.343998,-0.0313011,0.0789524,0
179000,1544,1629-3,0,0.129872,0.00074559,0.0457606,0
180000,1544,1629-3,0,0.201472,-0.0136487,0.0596058,0
181000,1544,1629-3,0,0.16407,-0.0197305,0.000580277,0
182000,1544,1629-3,0,0.338327,-0.0312278,0.0718496,0
183000,1544,1629-3,0,0.0823168,0.08081,0.0170045,0
184000,1544,1629-3,0,0.108345,-0.000161966,0.0285739,0
185000,1544,1629-3,0,0.215116,-0.0182741,0.0622491,0
186000,1544,1629-3,0,0.184491,-0.0126236,0.0666115,0
187000,1544,1629-3,0,0.166242,-0.00130179,0.0629268,0
188000,1544,1629-3,0,0.316368,0.0201673,0.442504,0
188000,1544,1622-1,6.62887,0.441964,-0.0629322,0.023968,0
189000,1544,1629-3,0,0.163508,0.00338258,0.0472064,0
190000,1544,1629-3,0,0.0886517,0.00536725,0.0190593,0
191000,1544,1629-3,0,0.121682,0.0244471,0.102293,0
192000,1544,1629-3,0,0.242803,-0.023887,0.0344226,0
